  -18.2401276       4.39363432       4.84162569       1.00000000    
  -18.2361279       4.41302061       4.85161257       1.00000000    
  -18.2321281       4.43244696       4.86159468       1.00000000    
  -18.2281284       4.45191336       4.87157249       1.00000000    
  -18.2241287       4.47141981       4.88154602       1.00000000    
  -18.2201290       4.49096584       4.89151478       1.00000000    
  -18.2161293       4.51055193       4.90147924       1.00000000    
  -18.2121296       4.53017759       4.91143942       1.00000000    
  -18.2081299       4.54984331       4.92139482       1.00000000    
  -18.2041302       4.56954861       4.93134594       1.00000000    
  -18.2001305       4.58929396       4.94129276       1.00000000    
  -18.1961308       4.60907888       4.95123482       1.00000000    
  -18.1921310       4.62890387       4.96117258       1.00000000    
  -18.1881313       4.64876842       4.97110558       1.00000000    
  -18.1841316       4.66867256       4.98103428       1.00000000    
  -18.1801319       4.68861675       4.99095869       1.00000000    
  -18.1761322       4.70860052       5.00087833       1.00000000    
  -18.1721325       4.72862387       5.01079369       1.00000000    
  -18.1681328       4.74868679       5.02070475       1.00000000    
  -18.1641331       4.76878929       5.03061104       1.00000000    
  -18.1601334       4.78893137       5.04051304       1.00000000    
  -18.1561337       4.80911303       5.05041075       1.00000000    
  -18.1521339       4.82933426       5.06030369       1.00000000    
  -18.1481342       4.84959507       5.07019234       1.00000000    
  -18.1441345       4.86989546       5.08007669       1.00000000    
  -18.1401348       4.89023542       5.08995628       1.00000000    
  -18.1361351       4.91061497       5.09983158       1.00000000    
  -18.1321354       4.93103409       5.10970259       1.00000000    
  -18.1281357       4.95149279       5.11956930       1.00000000    
  -18.1241360       4.97199059       5.12943125       1.00000000    
  -18.1201363       4.99252796       5.13928890       1.00000000    
  -18.1161366       5.01310492       5.14914227       1.00000000    
  -18.1121368       5.03372097       5.15899086       1.00000000    
  -18.1081371       5.05437660       5.16883516       1.00000000    
  -18.1041374       5.07507181       5.17867517       1.00000000    
  -18.1001377       5.09580612       5.18851042       1.00000000    
  -18.0961380       5.11658001       5.19834137       1.00000000    
  -18.0921383       5.13739300       5.20816803       1.00000000    
  -18.0881386       5.15824509       5.21798992       1.00000000    
  -18.0841389       5.17913675       5.22780752       1.00000000    
  -18.0801392       5.20006752       5.23762083       1.00000000    
  -18.0761395       5.22103739       5.24742985       1.00000000    
  -18.0721397       5.24204683       5.25723410       1.00000000    
  -18.0681400       5.26309538       5.26703405       1.00000000    
  -18.0641403       5.28418303       5.27682972       1.00000000    
  -18.0601406       5.30530977       5.28662062       1.00000000    
  -18.0561409       5.32647562       5.29640722       1.00000000    
  -18.0521412       5.34768105       5.30618954       1.00000000    
  -18.0481415       5.36892557       5.31596756       1.00000000    
  -18.0441418       5.39020920       5.32574081       1.00000000    
  -18.0401421       5.41153193       5.33550978       1.00000000    
  -18.0361423       5.43289328       5.34527445       1.00000000    
  -18.0321426       5.45429373       5.35503483       1.00000000    
  -18.0281429       5.47573328       5.36479044       1.00000000    
  -18.0241432       5.49721193       5.37454176       1.00000000    
  -18.0201435       5.51872969       5.38428879       1.00000000    
  -18.0161438       5.54028654       5.39403152       1.00000000    
  -18.0121441       5.56188202       5.40376949       1.00000000    
  -18.0081444       5.58351660       5.41350317       1.00000000    
  -18.0041447       5.60519028       5.42323256       1.00000000    
  -18.0001450       5.62690258       5.43295765       1.00000000    
  -17.9961452       5.64865398       5.44267797       1.00000000    
  -17.9921455       5.67044401       5.45239401       1.00000000    
  -17.9881458       5.69227314       5.46210575       1.00000000    
  -17.9841461       5.71414089       5.47181320       1.00000000    
  -17.9801464       5.73604774       5.48151588       1.00000000    
  -17.9761467       5.75799322       5.49121428       1.00000000    
  -17.9721470       5.77997732       5.50090837       1.00000000    
  -17.9681473       5.80200052       5.51059818       1.00000000    
  -17.9641476       5.82406235       5.52028322       1.00000000    
